Model,CV R2,CV R2 Std,CV MAE,CV RMSE,Train R2,Tuned CatBoost CV R2
CatBoost,0.6557686065717855,0.036884133566750535,724697.2621371618,1025735.4498207717,0.9179465580978015,0.653517045951377
Ridge Regression,0.6493033736326173,0.04492219491995483,746391.7385920689,1024463.228514375,0.6882952112502754,
ElasticNet,0.6490835921222669,0.045187303314180284,747057.3759639018,1024693.9681195942,0.6883067247394914,
Linear Regression,0.6490343335414055,0.04524404954476393,747208.8320788745,1024746.5730670977,0.6883070996680287,
Lasso Regression,0.6490343335316147,0.045244049437302966,747208.8312351943,1024746.5731516827,0.6883070996680287,
XGBoost,0.6364756967123071,0.03140887945724132,735339.3906837774,1047037.0025833774,0.9576272064485558,
Gradient Boosting,0.6078916928355438,0.04522776431998974,762949.916445151,1085815.6911293417,0.8855370065214974,
Random Forest,0.6031239328490617,0.07637072289550406,768653.5739867061,1089307.9404571392,0.9488668123319316,
Extra Trees,0.5462783428544254,0.07910690554554399,821274.4576706722,1168449.9379125948,0.9987412312030018,
Decision Tree,0.20958451827031782,0.28686658739714604,1061541.7985893418,1525734.6479882628,0.9987480565091837,
