Model,CV R2 (Log),CV R2 Std,CV MAE (Log),CV RMSE (Log),Train R2 (Log)
Lasso Regression,0.6735941696745285,0.03657861056468099,0.1541142608413204,0.19913965431364555,0.7066541780586576
ElasticNet,0.6724898429827408,0.03720514178623431,0.15421178431374188,0.19947241256623657,0.707165814431192
Ridge Regression,0.6705418213045327,0.037575551722704194,0.15464864977653286,0.20007523797187712,0.7073750353668667
Linear Regression,0.6699832417016343,0.03813038719652403,0.15475273079952506,0.20023180738427077,0.7074103285211312
CatBoost,0.6516903990581573,0.044680589426683175,0.15543078979692887,0.2055336967988469,0.9033699244780058
Gradient Boosting,0.6301515344601096,0.04981376800926887,0.16038529677101274,0.21167657637254167,0.884031622249158
XGBoost,0.6299493835523641,0.056615606361291385,0.16147970244025509,0.21169179288870965,0.9553174686445007
Random Forest,0.6194833147821088,0.06692816553804964,0.16138650033990487,0.21420394191907957,0.9454710955453229
Extra Trees,0.5988054429888394,0.039275427477912614,0.16649989598532766,0.22089302680374565,0.995296787441356
Decision Tree,0.2639250021298343,0.16482452381332985,0.22647489076457417,0.2970825148481045,0.995296787441356
