Model,CV R2 (Log),CV R2 Std,CV MAE (Log),CV RMSE (Log),Train R2 (Log)
Lasso Regression,0.6736032071366612,0.036563033811148345,0.1541111118987276,0.1991376833987606,0.7066561275838555
ElasticNet,0.6725074708894601,0.03718477865413931,0.15421056860898127,0.1994677397631376,0.7071662735862831
Ridge Regression,0.6705380005309177,0.037559631864151954,0.15465336328176493,0.20007676276954975,0.7073752824634278
Linear Regression,0.6699832417016343,0.03813038719652385,0.15475273079952506,0.2002318073842708,0.7074103285211312
CatBoost,0.6517758415383061,0.04467155735965727,0.1554255803443018,0.20550969539109035,0.9033699244780058
Gradient Boosting,0.6315320369143027,0.04777100177652308,0.16030879550594437,0.2112921384234464,0.884031622249158
XGBoost,0.6299493835523641,0.056615606361291385,0.16147970244025509,0.21169179288870965,0.9553174686445007
Random Forest,0.6202847529199748,0.06586153944994076,0.16125480241267492,0.21400697451765846,0.9455600060424164
Extra Trees,0.59880544298884,0.03927542747791318,0.16649989598532766,0.22089302680374548,0.995296787441356
Decision Tree,0.2639250021298343,0.16482452381332985,0.22647489076457417,0.2970825148481045,0.995296787441356
